Brand,Category,Market Share,Celeb Instagram followers,Brand Instagram followers,Number of countrries available,Current Valuation,Avg Pricing (other products),Price level,Public buzz
Rhode,Skincare,10.81320725,"55,400,000","3,600,000",2,"$1,000,000,000.00",$30.00,Medium,High
Kylie Cosmetics,Skincare/Makeup,7.569245076,"393,000,000","24,500,000",4,"$700,000,000.00",$25.00,Medium,High
Fenty,Skincare/Makeup,30.2769803,"149,000,000","13,200,000",30,"$2,800,000,000.00",$40.00,High,High
WYN Beauty,Skincare/Makeup,0.7569245076,"18,200,000","407,000",1,"$70,000,000.00",$20.00,Low,Low
LolaVie,Haircare,0.5406603626,"44,500,000","601,000",1,"$50,000,000.00",$30.00,Medium,Medium
C̩cred,Haircare,0.1838245233,"310,000,000","524,000",2,"$17,000,000.00",$40.00,High,High
JVN Hair,Haircare,0.01351650906,"5,300,000","217,000",1,"$1,250,000.00",$25.00,Medium,Medium
The Outset,Skincare,0.4325282901,N/A,"417,000",1,"$40,000,000.00",$40.00,High,Medium
S'Able Labs,Skincare/Makeup,0.03243962175,"6,700,000","45,700",2,"$3,000,000.00",$25.00,Medium,Low
S'Able Labs,Skincare/Makeup,0.03243962175,"835,000","45,700",2,"$3,000,000.00",$25.00,Medium,Low
r.e.m Beauty,Skincare/Makeup,0.1621981088,"374,000,000","2,300,000",4,"$15,000,000.00",$25.00,Medium,Medium
Keys Soulcare,Skincare/Makeup,0.1081320725,"27,500,000","216,000",1,"$10,000,000.00",$35.00,Medium,Medium
Rare Beauty,Skincare/Makeup,29.19565958,"410,000,000","8,300,000",1,"$2,700,000,000.00",$30.00,Medium,High
Honest Company,Skincare/Makeup,5.493109284,"21,100,000","1,000,000",4,"$508,000,000.00",$25.00,Medium,High
Flower Beauty,Skincare/Makeup,0.5406603626,"18,400,000","586,000",2,"$50,000,000.00",$20.00,Low,Medium
Flawless,Haircare,0.1081320725,"21,000,000","52,300",2,"$10,000,000.00",$10.00,Low,Low
Haus Labs,Skincare/Makeup,0.436853573,"61,000,000","1,300,000",4,"$40,400,000.00",$40.00,High,High
About-Face,Skincare/Makeup,0.03243962175,"30,500,000","402,000",4,"$3,000,000.00",$25.00,Medium,Low
Florence by Mills,Skincare/Makeup,0.1621981088,"63,900,000","3,200,000",3,"$15,000,000.00",$20.00,Low,High
Humanrace,Skincare,0.4325282901,"15,500,000","262,000",1,"$40,000,000.00",$40.00,High,High
Pattern Beauty,Haircare,0.3243962175,"11,400,000","426,000",5,"$30,000,000.00",$25.00,Medium,High
Victoria Beckham Beauty,Skincare,0.4865943263,"32,900,000","1,300,000",3,"$45,000,000.00",$60.00,High,Medium
TPH by Taraji,Haircare,0.03243962175,"22,100,000","259,000",1,"$3,000,000.00",$30.00,Medium,Medium
Meaningful Beauty,Skincare,0.1081320725,"8,200,000","104,000",5,"$10,000,000.00",$65.00,High,Low
Kora Organics,Skincare,0.01946377305,"14,300,000","479,000",4,"$1,800,000.00",$50.00,High,Low
Cay Skin,Skincare,0.07028584713,"10,000,000","85,700",3,"$6,500,000.00",$20.00,Medium,High
Beau Domaine,Skincare,5.406603626,N/A,"49,000",5,"$500,000,000.00",$200.00,High,Low
Loved01,Skincare,0.05406603626,"15,800,000","24,100",2,"$5,000,000.00",$15.00,Low,Medium
Rose Inc.,Skincare/Makeup,0.02703301813,N/A,"498,000",4,"$2,500,000.00",$40.00,High,Low
4U by Tia,Haircare,0.006487924351,"12,800,000","59,500",1,"$600,000.00",$10.00,Low,Low
Anomaly Haircare,Haircare,5.698560221,"92,500,000","140,000",5,"$527,000,000.00",$17.00,Low,Low
JLo Beauty,Skincare,0.004325282901,"248,000,000","1,100,000",4,"$400,000.00",$45.00,High,Low
Pleasing,Lifestyle,0.05406603626,"46,900,000","1,300,000",3,"$5,000,000.00",$80.00,High,Medium
Twentynine Palms,Skincare/Haircare,0.005406603626,"11,900,000","6,777",1,"$500,000.00",$80.00,High,Low
Barker Wellness,Wellness,0.05406603626,"8,400,000","111,000",1,"$5,000,000.00",$28.00,Medium,Low
UN/DN LAQR,Nail polish,0.0216264145,"9,100,000","66,100",1,"$2,000,000.00",$13.00,Low,Medium
Mantl,Skincare,0.302769803,"2,500,000","8,365",1,"$28,000,000.00",$20.00,Medium,Low
,,,,,,"$9,247,950,000.00",,,